epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6971,2.47211,5.83215,1.31565,0.00242,0.367,0.00243,0.00088,1.93017,4.79248,0.94603,0.00018,0.00018,0.00018
2,129.355,1.80557,3.36243,0.97872,0.00396,0.59933,0.00612,0.00187,1.95837,4.49135,0.90296,0.000372476,0.000372476,0.000372476
3,186.562,1.64518,2.75957,0.92214,0.00367,0.55556,0.00614,0.00215,1.66212,4.23419,0.89003,0.000557032,0.000557032,0.000557032
4,240.348,1.60088,2.32297,0.91372,0.00369,0.55892,0.00483,0.00192,1.60726,4.19232,0.89202,0.000733668,0.000733668,0.000733668
5,297.418,1.7056,2.25993,0.95085,0.0014,0.21212,0.00137,0.00042,1.48293,42.4558,0.90542,0.000902384,0.000902384,0.000902384
6,357.334,1.64087,2.07211,0.92328,0.00378,0.57239,0.00692,0.00314,1.57271,3.76776,0.90437,0.00106318,0.00106318,0.00106318
7,416.784,1.69,2.07232,0.92021,0.00373,0.56566,0.00461,0.00243,1.53118,3.88481,0.90601,0.00121606,0.00121606,0.00121606
8,482.726,1.57976,1.88834,0.92909,0.06805,0.01967,0.03893,0.02171,1.57593,3.47837,0.90621,0.00136101,0.00136101,0.00136101
9,551.867,1.55954,1.68716,0.93986,0.44708,0.04357,0.22819,0.12617,1.53971,3.15378,0.90165,0.00149805,0.00149805,0.00149805
10,611.704,1.54903,1.6337,0.90571,0.82402,0.33109,0.57924,0.3259,1.31801,2.55789,0.87818,0.00162716,0.00162716,0.00162716
11,675.694,1.65249,1.54741,0.93548,0.89976,0.45335,0.68595,0.35853,1.46855,2.3436,0.90295,0.001604,0.001604,0.001604
12,739.123,1.64609,1.66672,0.93242,0.88346,0.51049,0.73755,0.43504,1.32838,2.188,0.89581,0.0015644,0.0015644,0.0015644
13,794.98,1.42471,1.40008,0.89762,0.91518,0.65389,0.79603,0.48451,1.25715,1.93088,0.88337,0.0015248,0.0015248,0.0015248
14,853.643,1.38372,1.39541,0.9099,0.82147,0.73064,0.79787,0.47109,1.32377,1.65479,0.88503,0.0014852,0.0014852,0.0014852
15,907.746,1.40476,1.3049,0.91205,0.79794,0.71802,0.76927,0.45654,1.27168,1.47625,0.87926,0.0014456,0.0014456,0.0014456
16,969.125,1.48708,1.28349,0.91064,0.33214,0.75686,0.282,0.15886,1.32556,3.3944,0.8676,0.001406,0.001406,0.001406
17,1030.42,1.46818,1.33621,0.88782,0.83008,0.80598,0.82281,0.50862,1.24482,1.20634,0.85465,0.0013664,0.0013664,0.0013664
18,1128.12,1.39903,1.31005,0.88529,0.8422,0.77272,0.8354,0.50685,1.18722,1.21541,0.84967,0.0013268,0.0013268,0.0013268
19,1207.17,1.45108,1.26101,0.89133,0.88122,0.80135,0.86259,0.53395,1.13738,1.12772,0.84811,0.0012872,0.0012872,0.0012872
20,1267.83,1.35946,1.17688,0.88085,0.9183,0.83263,0.88706,0.52289,1.24906,1.05559,0.84546,0.0012476,0.0012476,0.0012476
21,1326.38,1.38978,1.09728,0.89441,0.93589,0.83165,0.89216,0.56353,1.13231,0.95993,0.83476,0.001208,0.001208,0.001208
22,1383.61,1.42727,1.12479,0.88933,0.9383,0.81922,0.89402,0.55549,1.22725,0.96884,0.86072,0.0011684,0.0011684,0.0011684
23,1441.46,1.37933,1.10433,0.88085,0.96141,0.78788,0.88971,0.57283,1.14596,0.92857,0.83955,0.0011288,0.0011288,0.0011288
24,1499.08,1.3236,1.06404,0.86692,0.91205,0.83794,0.89242,0.59025,1.0745,0.88971,0.82998,0.0010892,0.0010892,0.0010892
25,1556.3,1.22421,0.99436,0.85086,0.95854,0.85633,0.90073,0.62747,0.97299,0.9128,0.82242,0.0010496,0.0010496,0.0010496
26,1613.25,1.15925,0.96828,0.87983,0.95066,0.82492,0.88828,0.63585,0.93535,0.81597,0.81565,0.00101,0.00101,0.00101
27,1669.98,1.21372,0.98719,0.85816,0.97557,0.80662,0.88212,0.62827,0.9664,0.83055,0.81607,0.0009704,0.0009704,0.0009704
28,1725.46,1.11285,0.90741,0.84833,0.98578,0.85859,0.90065,0.60145,1.05561,0.78528,0.81573,0.0009308,0.0009308,0.0009308
29,1783.89,1.20116,0.95307,0.85072,0.95651,0.88863,0.90967,0.64485,0.95235,0.76105,0.81294,0.0008912,0.0008912,0.0008912
30,1840.8,1.19954,0.93366,0.84372,0.97023,0.86869,0.91541,0.65396,0.91863,0.74473,0.80764,0.0008516,0.0008516,0.0008516
31,1895.32,1.167,0.88004,0.85161,0.99232,0.86195,0.90904,0.64649,0.98991,0.74633,0.80914,0.000812,0.000812,0.000812
32,1953.56,1.06159,0.86162,0.84308,0.98091,0.86483,0.91267,0.63551,0.99229,0.74903,0.80796,0.0007724,0.0007724,0.0007724
33,2020.32,1.12025,0.84479,0.82556,0.98463,0.86305,0.91583,0.65769,0.93377,0.74094,0.80176,0.0007328,0.0007328,0.0007328
34,2087.69,1.06197,0.85328,0.83871,0.96654,0.87544,0.91302,0.65512,0.9075,0.73975,0.80039,0.0006932,0.0006932,0.0006932
35,2145.95,1.09108,0.83381,0.82918,0.96369,0.89351,0.9201,0.64784,0.92981,0.72765,0.80089,0.0006536,0.0006536,0.0006536
